UACE,NAME,POP,HU,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,LSADC
23527,"Denver--Aurora, CO",2374203,997980,1729988718,667.95,35104962,13.55,3554.4,75
23743,"Des Moines, IA",450070,190895,519530161,200.59,4337467,1.67,2243.7,75
23824,"Detroit, MI",3734090,1653116,3463234750,1337.16,91817679,35.45,2792.5,75
24472,"Dothan, AL",68781,30681,143746685,55.5,308682,0.12,1239.3,75
24580,"Dover, DE",110769,43144,191734980,74.03,2277525,0.88,1496.3,75
24607,"Dover--Rochester, NH--ME",88087,36466,172039650,66.42,5526130,2.13,1326.1,75
24823,"Dubuque, IA--IL",67818,29024,87515940,33.79,866956,0.33,2007,75
24850,"Duluth, MN--WI",120378,53537,182534779,70.48,22614519,8.73,1708,75
25228,"Durham, NC",347602,152577,470711743,181.74,3939825,1.52,1912.6,75
25849,"East Stroudsburg, PA--NJ",54316,21836,134939022,52.1,1261147,0.49,1042.5,75
26038,"Eau Claire, WI",102852,44530,178706416,69,12338276,4.76,1490.6,75
26416,"El Centro--Calexico, CA",107672,33162,77688228,30,45516,0.02,3589.6,75
26750,"Elizabethtown--Radcliff, KY",73467,30547,147521282,56.96,1312072,0.51,1289.8,75
26794,"Elkhart, IN--MI",143592,58631,237926775,91.86,7546435,2.91,1563.1,75
27118,"Elmira, NY",67983,29507,97898053,37.8,1346394,0.52,1798.6,75
27253,"El Paso, TX--NM",803086,270231,648975307,250.57,3375341,1.3,3205,75
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,25479,81440798,31.44,754256,0.29,2069.9,75
27766,"Erie, PA",196611,85558,213013051,82.24,364675,0.14,2390.6,75
28117,"Eugene, OR",247421,108056,224689268,86.75,977485,0.38,2852,75
28333,"Evansville, IN--KY",229351,104388,307803957,118.84,3209239,1.24,1929.9,75
28549,"Fairbanks, AK",64513,25869,142765014,55.12,4392468,1.7,1170.4,75
28657,"Fairfield, CA",133683,46751,102208547,39.46,339058,0.13,3387.6,75
28981,"Fajardo, PR",85225,43282,131562223,50.8,354753,0.14,1677.8,75
29089,"Fargo, ND--MN",176676,78728,181992071,70.27,69368,0.03,2514.3,75
29278,"Farmington, NM",53049,20250,90362046,34.89,588609,0.23,1520.5,75
29440,"Fayetteville, NC",310282,131234,512897004,198.03,5876438,2.27,1566.8,75
29494,"Fayetteville--Springdale--Rogers, AR--MO",295083,125257,486227209,187.73,6398157,2.47,1571.8,75
29818,"Flagstaff, AZ",71957,28672,90199563,34.83,14636,0.01,2066.2,75
29872,"Flint, MI",356218,164933,610985440,235.9,18744100,7.24,1510,75
29953,"Florence, AL",77074,37040,160947434,62.14,2038053,0.79,1240.3,75
30061,"Florence, SC",89557,39135,184022610,71.05,1356520,0.52,1260.5,75
30115,"Florida--ImbÇry--Barceloneta, PR",71747,30256,118646836,45.81,59062,0.02,1566.2,75
30223,"Fond du Lac, WI",54901,24309,74721485,28.85,831262,0.32,1903,75
30628,"Fort Collins, CO",264465,110523,284024540,109.66,14723568,5.68,2411.6,75
30925,"Fort Smith, AR--OK",122947,53063,183291657,70.77,2558528,0.99,1737.3,75
31060,"Fort Walton Beach--Navarre--Wright, FL",191917,109009,312113191,120.51,26370028,10.18,1592.6,75
31087,"Fort Wayne, IN",313492,136775,445815649,172.13,1086437,0.42,1821.2,75
31519,"Frederick, MD",141576,56122,190090706,73.39,1299911,0.5,1929,75
31600,"Fredericksburg, VA",141238,52950,201524230,77.81,2084270,0.8,1815.2,75
31843,"Fresno, CA",654628,229285,443623746,171.28,565416,0.22,3821.9,75
32113,"Gadsden, AL",64172,29951,186576743,72.04,7245625,2.8,890.8,75
32167,"Gainesville, FL",187781,85930,225430522,87.04,3841294,1.48,2157.4,75
32194,"Gainesville, GA",130846,49063,327037233,126.27,7858401,3.03,1036.2,75
32653,"Gastonia, NC--SC",169495,73115,359056401,138.63,2093517,0.81,1222.6,75
33328,"Gilroy--Morgan Hill, CA",98413,31353,117688246,45.44,3754,0,2165.8,75
33598,"Glens Falls, NY",65443,29640,107616708,41.55,2183350,0.84,1575,75
33814,"Goldsboro, NC",61054,27061,137046994,52.91,416810,0.16,1153.8,75
34219,"Grand Forks, ND--MN",61270,27032,63309483,24.44,175580,0.07,2506.6,75
34246,"Grand Island, NE",50440,20091,72855426,28.13,515261,0.2,1793.1,75
34273,"Grand Junction, CO",128124,54388,204086143,78.8,2214614,0.86,1626,75
34300,"Grand Rapids, MI",569935,232212,726682274,280.57,14869078,5.74,2031.3,75
34516,"Grants Pass, OR",50520,23257,70435849,27.2,742626,0.29,1857.7,75
34759,"Great Falls, MT",65207,29435,80586072,31.11,1753393,0.68,2095.7,75
34786,"Greeley, CO",117825,45555,106792744,41.23,433064,0.17,2857.5,75
34813,"Green Bay, WI",206520,88146,271964922,105.01,6967829,2.69,1966.7,75
35164,"Greensboro, NC",311810,140442,479692010,185.21,10951200,4.23,1683.5,75
35380,"Greenville, NC",117798,53845,168861167,65.2,1254428,0.48,1806.8,75
35461,"Greenville, SC",400492,175798,829432086,320.25,6911588,2.67,1250.6,75
35866,"Guayama, PR",80155,35613,105492947,40.73,8101142,3.13,1967.9,75
35920,"Gulfport, MS",208948,97318,426115307,164.52,31637032,12.22,1270,75
36190,"Hagerstown, MD--WV--PA",182696,77100,345324863,133.33,505304,0.2,1370.2,75
36514,"Hammond, LA",67629,27712,198479707,76.63,756312,0.29,882.5,75
36703,"Hanford, CA",87941,30114,71854752,27.74,0,0,3169.8,75
36784,"Hanover, PA",66301,27104,93488433,36.1,687003,0.27,1836.8,75
36892,"Harlingen, TX",135663,49476,214319825,82.75,2433941,0.94,1639.4,75
37081,"Harrisburg, PA",444474,196644,672575052,259.68,21913290,8.46,1711.6,75
37162,"Harrisonburg, VA",66784,24517,84301359,32.55,283942,0.11,2051.8,75
37243,"Hartford, CT",924859,388538,1337069590,516.25,23469901,9.06,1791.5,75
37594,"Hattiesburg, MS",80358,35693,178703954,69,3729011,1.44,1164.6,75
37945,"Hazleton, PA",56827,25625,80890936,31.23,77531,0.03,1819.5,75
38215,"Hemet, CA",163379,65638,127156829,49.1,1848027,0.71,3327.8,75
38647,"Hickory, NC",212195,93405,677569139,261.61,9643791,3.72,811.1,75
38809,"High Point, NC",166485,73724,292652687,112.99,4640822,1.79,1473.4,75
39079,"Hilton Head Island, SC",68998,47033,175137093,67.62,7770964,3,1020.4,75
39133,"Hinesville, GA",51456,20957,80658367,31.14,860857,0.33,1652.3,75
39430,"Holland, MI",99941,39678,153443062,59.24,8618276,3.33,1686.9,75
39758,"Homosassa Springs--Beverly Hills--Citrus Springs, FL",80962,43828,234293607,90.46,6810451,2.63,895,75
40213,"Hot Springs, AR",55121,29811,116350853,44.92,10611125,4.1,1227,75
40375,"Houma, LA",144875,57106,236809219,91.43,1236507,0.48,1584.5,75
40429,"Houston, TX",4944332,1895670,4299420988,1660.02,88196119,34.05,2978.5,75
40753,"Huntington, WV--KY--OH",202637,93828,337578027,130.34,24181376,9.34,1554.7,75
40780,"Huntsville, AL",286692,125102,543269972,209.76,2674874,1.03,1366.8,75
40996,"Idaho Falls, ID",90733,34327,115276968,44.51,563105,0.22,2038.5,75
41212,"Indianapolis, IN",1487483,645769,1827862774,705.74,32092527,12.39,2107.7,75
41347,"Indio--Cathedral City, CA",345580,184888,372417690,143.79,4083469,1.58,2403.3,75
41590,"Iowa City, IA",106621,46233,118041717,45.58,900275,0.35,2339.4,75
41914,"Ithaca, NY",53661,20424,63663305,24.58,521993,0.2,2183.1,75
42157,"Jackson, MI",90057,38548,149373065,57.67,4117708,1.59,1561.5,75
42211,"Jackson, MS",351478,147542,628040210,242.49,17188083,6.64,1449.5,75
42265,"Jackson, TN",71880,30554,132458187,51.14,191539,0.07,1405.5,75
42346,"Jacksonville, FL",1065219,467634,1373615003,530.36,199369291,76.98,2008.5,75
42400,"Jacksonville, NC",105419,35093,184759745,71.34,4372220,1.69,1477.8,75
42562,"Janesville, WI",69658,30539,79709496,30.78,1355979,0.52,2263.4,75
42967,"Jefferson City, MO",58533,25396,103570734,39.99,725727,0.28,1463.7,75
43210,"Johnson City, TN",120415,56911,284678082,109.91,902326,0.35,1095.5,75
43291,"Johnstown, PA",69014,34413,100011476,38.61,901003,0.35,1787.2,75
43345,"Jonesboro, AR",65419,27590,121592147,46.95,719819,0.28,1393.5,75
43399,"Joplin, MO",82775,36800,166833924,64.41,534208,0.21,1285,75
43453,"Juana D°az, PR",80928,30995,123816090,47.81,3716231,1.43,1692.9,75
43615,"Kahului, HI",55934,18458,43194012,16.68,126311,0.05,3353.9,75
43669,"Kailua (Honolulu County)--Kaneohe, HI",113682,36414,101101980,39.04,1405158,0.54,2912.3,75
43723,"Kalamazoo, MI",209703,93137,341059430,131.68,14831576,5.73,1592.5,75
43885,"Kankakee, IL",81926,31958,96247065,37.16,2207474,0.85,2204.6,75
43912,"Kansas City, MO--KS",1519417,671028,1755587807,677.84,18295475,7.06,2241.6,75
44479,"Kennewick--Pasco, WA",210975,78723,265387682,102.47,18568155,7.17,2059,75
44506,"Kenosha, WI--IL",124064,50484,132625178,51.21,342509,0.13,2422.8,75
44992,"Killeen, TX",217630,84291,219653228,84.81,661931,0.26,2566.1,75
45235,"Kingsport, TN--VA",106571,50388,294112172,113.56,3316381,1.28,938.5,75
45262,"Kingston, NY",57442,26331,110947301,42.84,2270646,0.88,1340.9,75
45451,"Kissimmee, FL",314071,132020,409912328,158.27,9643926,3.72,1984.4,75
45640,"Knoxville, TN",558696,252162,1134792603,438.15,10906582,4.21,1275.1,75
45694,"Kokomo, IN",62182,30117,93923829,36.26,271674,0.1,1714.7,75
45910,"La Crosse, WI--MN",100868,43137,132068370,50.99,3526048,1.36,1978.1,75
45937,"Lady Lake--The Villages, FL",112991,69820,184069162,71.07,3325821,1.28,1589.9,75
46018,"Lafayette, IN",147725,61305,166040040,64.11,950253,0.37,2304.3,75
46045,"Lafayette, LA",252720,106432,462643367,178.63,1276844,0.49,1414.8,75
46126,"Lafayette--Louisville--Erie, CO",79407,31797,102387944,39.53,1617062,0.62,2008.7,75
46531,"Lake Charles, LA",143440,61740,327697961,126.52,11294314,4.36,1133.7,75
46747,"Lake Havasu City, AZ",53427,32835,76512992,29.54,58541,0.02,1808.5,75
46801,"Lake Jackson--Angleton, TX",74830,30467,107972064,41.69,3277278,1.27,1795,75
46828,"Lakeland, FL",262596,114725,378185289,146.02,17848936,6.89,1798.4,75
47530,"Lancaster, PA",402004,163873,641094177,247.53,7665597,2.96,1624.1,75
47611,"Lancaster--Palmdale, CA",341219,109200,299145981,115.5,436563,0.17,2954.3,75
47719,"Lansing, MI",313532,138435,409665051,158.17,8817734,3.4,1982.2,75
47854,"Laredo, TX",235730,68892,170121651,65.68,185163,0.07,3588.8,75
47935,"Las Cruces, NM",128600,54045,167576559,64.7,157977,0.06,1987.6,75
47995,"Las Vegas--Henderson, NV",1886011,806755,1079621093,416.84,245987,0.09,4524.5,75
48232,"Lawrence, KS",88053,37692,78847501,30.44,826135,0.32,2892.4,75
48394,"Lawton, OK",94457,39296,114152127,44.07,0,0,2143.1,75
48664,"Lebanon, PA",77086,32291,116748917,45.08,543343,0.21,1710.1,75
48799,"Leesburg--Eustis--Tavares, FL",131337,70397,244552738,94.42,25908634,10,1391,75
48826,"Lee's Summit, MO",85081,34528,107021965,41.32,4217467,1.63,2059,75
49096,"Leominster--Fitchburg, MA",116960,50827,168447165,65.04,5905576,2.28,1798.3,75
49312,"Lewiston, ID--WA",51924,23142,73092840,28.22,1763329,0.68,1839.9,75
49339,"Lewiston, ME",59397,27675,91680760,35.4,2066610,0.8,1678,75
49582,"Lexington-Fayette, KY",290263,132513,226721515,87.54,2103349,0.81,3315.9,75
49594,"Lexington Park--California--Chesapeake Ranch Estates, MD",58875,23790,129332370,49.94,11078997,4.28,1179,75
49852,"Lima, OH",72852,31812,135576369,52.35,4239529,1.64,1391.7,75
49933,"Lincoln, NE",258719,110643,229135352,88.47,2948709,1.14,2924.4,75
50392,"Little Rock, AR",431388,193618,669022281,258.31,9667471,3.73,1670,75
50527,"Livermore, CA",81624,30569,63377833,24.47,6919,0,3335.6,75
50851,"Lodi, CA",68738,26201,41207495,15.91,452628,0.17,4320.3,75
50959,"Logan, UT",94983,31130,113776996,43.93,100876,0.04,2162.2,75
51040,"Lompoc, CA",51509,17944,27702409,10.7,72762,0.03,4815.7,75
51175,"Longmont, CO",90897,36783,67928900,26.23,1875015,0.72,3465.7,75
51256,"Longview, TX",98884,40041,215058284,83.03,932830,0.36,1190.9,75
51283,"Longview, WA--OR",63952,27804,85110305,32.86,4205145,1.62,1946.1,75
51364,"Lorain--Elyria, OH",180956,80095,259508283,100.2,3064085,1.18,1806,75
51445,"Los Angeles--Long Beach--Anaheim, CA",12150996,4217448,4496266014,1736.02,61141327,23.61,6999.3,75
51499,"Los Lunas, NM",63758,24932,179384708,69.26,1517272,0.59,920.5,75
51755,"Louisville/Jefferson County, KY--IN",972546,431679,1234700540,476.72,30726287,11.86,2040.1,75
51877,"Lubbock, TX",237356,98505,249826818,96.46,2046351,0.79,2460.7,75
52201,"Lynchburg, VA",116636,49361,230013260,88.81,1386135,0.54,1313.3,75
52390,"McAllen, TX",728825,234474,927184088,357.99,2517170,0.97,2035.9,75
52687,"McKinney, TX",170030,61254,191923463,74.1,1798416,0.69,2294.5,75
52822,"Macon, GA",137570,62512,253854243,98.01,2410758,0.93,1403.6,75
52984,"Madera, CA",78413,21437,57994263,22.39,0,0,3501.9,75
53200,"Madison, WI",401661,181348,391086803,151,17787113,6.87,2660,75
53740,"Manchester, NH",158377,67731,223121681,86.15,4185345,1.62,1838.4,75
53794,"Mandeville--Covington, LA",88925,36111,169891915,65.6,1970925,0.76,1355.7,75
53848,"Manhattan, KS",54622,22504,53648246,20.71,373382,0.14,2637,75
53983,"Mankato, MN",57584,23612,68306886,26.37,697404,0.27,2183.4,75
54091,"Mansfield, OH",75250,34156,130315995,50.32,273945,0.11,1495.6,75
54145,"Manteca, CA",83578,29056,56548708,21.83,898128,0.35,3828,75
55333,"Marysville, WA",145140,55154,211897491,81.81,8458188,3.27,1774,75
55603,"Mauldin--Simpsonville, SC",120577,47649,216429262,83.56,1361479,0.53,1442.9,75
55738,"MayagÅez, PR",109572,51854,139179299,53.74,87509,0.03,2039,75
55981,"Medford, OR",154081,68182,167617526,64.72,655828,0.25,2380.8,75
56116,"Memphis, TN--MS--AR",1060061,450685,1288022457,497.31,9782252,3.78,2131.6,75
56251,"Merced, CA",136969,45951,123108189,47.53,22024,0.01,2881.6,75
56602,"Miami, FL",5502379,2443188,3207994271,1238.61,191964476,74.12,4442.4,75
56656,"Michigan City--La Porte, IN--MI",66025,31067,100901039,38.96,3634402,1.4,1694.8,75
56899,"Middletown, NY",58381,22762,81106372,31.32,452526,0.17,1864.3,75
56926,"Middletown, OH",97503,43101,145292509,56.1,2315201,0.89,1738.1,75
56980,"Midland, MI",59014,25154,116217257,44.87,3754984,1.45,1315.2,75
57007,"Midland, TX",117807,47059,136955728,52.88,141294,0.05,2227.9,75
57466,"Milwaukee, WI",1376476,597266,1413150250,545.62,49369848,19.06,2522.8,75
57628,"Minneapolis--St. Paul, MN--WI",2650890,1110565,2646456610,1021.8,232127029,89.62,2594.3,75
57709,"Mission Viejo--Lake Forest--San Clemente, CA",583681,229845,389861615,150.53,2392379,0.92,3877.6,75
57736,"Missoula, MT",82157,37070,117074956,45.2,620714,0.24,1817.5,75
57925,"Mobile, AL",326183,142178,576933846,222.76,9972885,3.85,1464.3,75
58006,"Modesto, CA",358172,124923,237964402,91.88,914405,0.35,3898.3,75
58168,"Monessen--California, PA",66086,32513,115818048,44.72,3542409,1.37,1477.9,75
58330,"Monroe, LA",116533,49410,212228535,81.94,5008887,1.93,1422.1,75
58357,"Monroe, MI",51240,22393,83138329,32.1,2475842,0.96,1596.3,75
58600,"Montgomery, AL",263907,112998,397762819,153.58,3526025,1.36,1718.4,75
59275,"Morgantown, WV",70350,32056,97111353,37.49,3299805,1.27,1876.3,75
59410,"Morristown, TN",59036,25167,154988875,59.84,374414,0.14,986.5,75
60490,"Mount Vernon, WA",62966,24662,89280199,34.47,3471245,1.34,1826.6,75
60625,"Muncie, IN",90580,40634,120868107,46.67,706991,0.27,1941,75
60733,"Murfreesboro, TN",133228,54281,200306623,77.34,422479,0.16,1722.7,75
60799,"Murrieta--Temecula--Menifee, CA",441546,151268,418862938,161.72,2198788,0.85,2730.2,75
60841,"Muskegon, MI",161280,70880,290837096,112.29,13996332,5.4,1436.2,75
60895,"Myrtle Beach--Socastee, SC--NC",215304,171688,493060462,190.37,9357919,3.61,1131,75
60976,"Nampa, ID",151499,55449,179733584,69.4,512439,0.2,2183.1,75
61057,"Napa, CA",83913,32387,66872371,25.82,677391,0.26,3250,75
61165,"Nashua, NH--MA",226400,91802,472097920,182.28,9254780,3.57,1242.1,75
61273,"Nashville-Davidson, TN",969587,415974,1459375591,563.47,41453364,16.01,1720.7,75
61705,"Newark, OH",76068,34107,109100592,42.12,993373,0.38,1805.8,75
61786,"New Bedford, MA",149443,64978,142709138,55.1,14485580,5.59,2712.2,75
61840,"New Bern, NC",50503,23602,112434336,43.41,4730762,1.83,1163.4,75
62407,"New Haven, CT",562839,239054,792818068,306.11,15838838,6.12,1838.7,75
62677,"New Orleans, LA",899703,426562,651105206,251.39,44610589,17.22,3578.9,75
63217,"New York--Newark, NY--NJ--CT",18351295,7263095,8935981360,3450.2,533176599,205.86,5318.9,75
63433,"Norman, OK",103898,45160,116231709,44.88,2095584,0.81,2315.2,75
63838,"North Port--Port Charlotte, FL",169541,97194,308063292,118.94,26929715,10.4,1425.4,75
64135,"Norwich--New London, CT--RI",209190,96682,393654664,151.99,37352284,14.42,1376.3,75
64567,"Ocala, FL",156909,75984,290302900,112.09,514605,0.2,1399.9,75
64864,"Odessa, TX",126405,49472,152640583,58.93,300126,0.12,2144.8,75
64945,"Ogden--Layton, UT",546026,184349,563458377,217.55,1228208,0.47,2509.9,75
65080,"Oklahoma City, OK",861505,376247,1063534320,410.63,20339095,7.85,2098,75
65242,"Olympia--Lacey, WA",176617,77203,273453845,105.58,34763133,13.42,1672.8,75
65269,"Omaha, NE--IA",725008,302208,702425101,271.21,12636230,4.88,2673.3,75
65863,"Orlando, FL",1510516,648166,1548012602,597.69,142321970,54.95,2527.3,75
66160,"Oshkosh, WI",74495,31552,79786869,30.81,2716813,1.05,2418.2,75
66484,"Owensboro, KY",70543,31147,87585926,33.82,601971,0.23,2086,75
66673,"Oxnard, CA",367260,119243,218554654,84.38,4341512,1.68,4352.2,75
67105,"Palm Bay--Melbourne, FL",452791,222477,600821070,231.98,130390065,50.34,1951.9,75
67134,"Palm Coast--Daytona Beach--Port Orange, FL",349064,196509,464496045,179.34,29284415,11.31,1946.3,75
67294,"Panama City, FL",143280,87385,238044652,91.91,19526345,7.54,1558.9,75
67672,"Parkersburg, WV--OH",67229,32164,109771850,42.38,2764865,1.07,1586.2,75
67807,"Pascagoula, MS",50428,22791,102402319,39.54,5634209,2.18,1275.4,75
68482,"Pensacola, FL--AL",340067,157262,602495263,232.62,16058411,6.2,1461.9,75
68509,"Peoria, IL",266921,118090,371693706,143.51,11090331,4.28,1859.9,75
68887,"Petaluma, CA",64078,25355,55180733,21.31,221181,0.09,3007.6,75
69076,"Philadelphia, PA--NJ--DE--MD",5441567,2231613,5131721516,1981.37,127875865,49.37,2746.4,75
69184,"Phoenix--Mesa, AZ",3629114,1575123,2969602180,1146.57,11690971,4.51,3165.2,75
69454,"Pine Bluff, AR",53495,22629,96299959,37.18,415012,0.16,1438.7,75
69697,"Pittsburgh, PA",1733853,822265,2344389921,905.17,42121620,16.26,1915.5,75
69778,"Pittsfield, MA",59124,28511,86766391,33.5,4782300,1.85,1764.9,75
70426,"Pocatello, ID",69809,27888,80312750,31.01,219445,0.08,2251.3,75
70642,"Ponce, PR",149539,63117,114270222,44.12,1659094,0.64,3389.4,75
70993,"Port Arthur, TX",153150,62724,273389576,105.56,12628895,4.88,1450.9,75
71074,"Porterville, CA",70272,21173,53132104,20.51,288944,0.11,3425.5,75
71155,"Port Huron, MI",87106,40788,156550616,60.44,1811915,0.7,1441.1,75
71263,"Portland, ME",203914,98350,351999048,135.91,13978355,5.4,1500.4,75
71317,"Portland, OR--WA",1849898,777016,1358145997,524.38,35061631,13.54,3527.8,75
71479,"Port St. Lucie, FL",376047,190725,538965142,208.1,53083590,20.5,1807.1,75
71506,"Portsmouth, NH--ME",88200,47590,240020714,92.67,12812446,4.95,951.7,75
71749,"Pottstown, PA",107682,43607,204158561,78.83,1731461,0.67,1366.1,75
71803,"Poughkeepsie--Newburgh, NY--NJ",423566,158439,847299432,327.14,57679232,22.27,1294.7,75
72112,"Prescott Valley--Prescott, AZ",84744,43098,132047936,50.98,0,0,1662.2,75
72505,"Providence, RI--MA",1190956,516656,1411660749,545.05,85343906,32.95,2185.1,75
72559,"Provo--Orem, UT",482819,138258,437635308,168.97,507853,0.2,2857.4,75
72613,"Pueblo, CO",136550,59538,192206845,74.21,2205393,0.85,1840,75
73153,"Racine, WI",133700,56766,127971275,49.41,1296154,0.5,2705.9,75
73261,"Raleigh, NC",884891,365168,1341975559,518.14,12798133,4.94,1707.8,75
73396,"Rapid City, SD",81251,35309,109435414,42.25,176785,0.07,1923,75
73693,"Reading, PA",266254,107728,268950136,103.84,2929578,1.13,2564,75
73774,"Redding, CA",117731,50181,184041834,71.06,3602920,1.39,1656.8,75
74179,"Reno, NV--CA",392141,168328,425749210,164.38,1567778,0.61,2385.5,75
74746,"Richmond, VA",953556,405840,1274710664,492.17,22584241,8.72,1937.5,75
75340,"Riverside--San Bernardino, CA",1932666,590206,1411456231,544.97,8563001,3.31,3546.4,75
75421,"Roanoke, VA",210111,96367,321615840,124.18,1941232,0.75,1692,75
75637,"Rochester, MN",107677,46090,131004305,50.58,311054,0.12,2128.8,75
75664,"Rochester, NY",720572,313924,840370707,324.47,16962382,6.55,2220.8,75
75718,"Rockford, IL",296863,124394,396304044,153.01,4779159,1.85,1940.1,75
75745,"Rock Hill, SC",104996,44687,247650267,95.62,1441094,0.56,1098.1,75
